ID,ObjectType,Rate,Metatitle,CitesNum,CitedByNum,AppearsInNum,URL
SCP-002,Euclid,+1522,"The ""Living"" Room",0,6,3,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-002
SCP-003,Euclid,+675,Biological Motherboard,2,4,5,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-003
SCP-004,Euclid,+989,The 12 Rusty Keys and the Door,0,6,2,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-004
SCP-005,Safe,+566,Skeleton Key,0,6,5,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-005
SCP-006,Safe,+506,Fountain of Youth,0,7,8,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-006
SCP-008,Euclid,+781,Zombie Plague,1,14,12,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-008
SCP-028,Safe,+1035,Knowledge,2,5,3,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-028
SCP-033,Euclid,+669,The Missing Number,0,8,12,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-033
SCP-035,Keter,+1519,Possessive Mask,5,7,11,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-035
SCP-038,Safe,+509,The Everything Tree,2,6,2,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-038
SCP-039,Euclid,+297,Proboscis Engineers,3,3,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-039
SCP-040,Euclid,+495,Evolution's Child,0,5,5,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-040
SCP-043,Safe,+287,The Beatle,0,5,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-043
SCP-044,Safe,+294,World War II Era Molecular-Fission Cannon,0,4,3,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-044
SCP-048,Others,+1177,The Cursed SCP Number,0,4,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-048
SCP-049,Euclid,+3360,Plague Doctor,4,10,38,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-049
SCP-050,Euclid,+416,To The Cleverest,10,3,5,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-050
SCP-053,Euclid,+752,Young Girl,1,6,9,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-053
SCP-055,Keter,+3012,[unknown],1,14,25,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-055
SCP-056,Euclid,+175,A Beautiful Person,0,4,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-056
SCP-058,Keter,+723,Heart of Darkness,0,5,7,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-058
SCP-061,Safe,+236,Auditory Mind Control,0,3,4,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-061
SCP-063,Safe,+445,"""The World's Best TothBrush""",1,4,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-063
SCP-066,Euclid,+747,Eric's Toy,0,4,4,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-066
SCP-073,Euclid,+1013,"""Cain""",5,17,29,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-073
SCP-075,Euclid,+278,Corrosive Snail,1,4,2,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-075
SCP-076,Keter,+1335,"""Able""",3,43,64,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-076
SCP-079,Euclid,+1200,Old AI,1,8,9,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-079
SCP-081,Euclid,+303,Spontaneous Combustion Virus,0,3,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-081
SCP-082,Euclid,+603,"""Fernand"" the Cannibal",0,8,6,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-082
SCP-085,Safe,+1313,Hand-drawn ''Cassy'',2,7,9,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-085
SCP-087,Euclid,+2946,The Stairwell,0,5,15,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-087
SCP-089,Euclid,+665,Tophet,0,5,9,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-089
SCP-093,Euclid,+2589,Red Sea Object,2,4,13,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-093
SCP-096,Euclid,+2805,"The ""Shy Guy""",0,13,17,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-096
SCP-101,Euclid,+231,Hungry Bag,0,4,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-101
SCP-105,Safe,+743,"""Iris""",3,13,31,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-105
SCP-106,Keter,+2495,The Old Man,4,20,30,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-106
SCP-122,Keter,+294,No More Monsters,3,4,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-122
SCP-123,Euclid,+329,Contained Miniature Black Hole,0,4,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-123
SCP-124,Euclid,+281,Fertile Soil,0,3,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-124
SCP-127,Safe,+487,The Living Gun,0,5,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-127
SCP-128,Euclid,+248,Kinetic Energy Entity,3,3,2,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-128
SCP-131,Safe,+815,"The ""Eye Pods""",2,3,4,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-131
SCP-134,Safe,+310,Star-Eyed Child,0,4,5,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-134
SCP-140,Keter,+1293,An Incomplete Chronicle,0,29,19,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-140
SCP-143,Euclid,+373,The Bladewood Grove,9,4,6,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-143
SCP-148,Euclid,+486,"The ""Telekill"" Alloy",0,22,40,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-148
SCP-158,Euclid,+327,Soul Extractor,4,8,6,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-158
SCP-162,Euclid,+498,Ball of Sharp,2,3,2,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-162
SCP-163,Safe,+595,An Old Castaway,0,3,2,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-163
SCP-165,Keter,+412,"The Creeping, Hungry Sands of Tule",0,3,4,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-165
SCP-166,Euclid,+445,Just a Teenage Gaea,1,4,7,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-166
SCP-168,Safe,+623,Sentient Calculator,0,4,4,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-168
SCP-169,Keter,+808,The Leviathan,0,6,9,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-169
SCP-173,Euclid,+6674,The Sculpture - The Original,0,31,75,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-173
SCP-179,Thaumiel,+811,Sauelsuesor,0,7,9,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-179
SCP-181,Safe,+222,"""Lucky""",3,3,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-181
SCP-182,Euclid,+255,"""Rider""",2,5,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-182
SCP-184,Euclid,+1048,The Architect,4,5,10,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-184
SCP-187,Safe,+380,Double Vision,13,4,4,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-187
SCP-204,Keter,+191,The Protector,0,3,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-204
SCP-212,Safe,+438,The Improver,2,4,8,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-212
SCP-217,Keter,+709,The Clockwork Virus,2,19,13,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-217
SCP-230,Euclid,+298,The Gayest Man Alive,0,3,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-230
SCP-231,Keter,+2010,Special Personnel Requirements,4,16,33,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-231
SCP-239,Keter,+637,The Witch Child,3,8,26,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-239
SCP-248,Safe,+228,110%,0,3,2,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-248
SCP-261,Safe,+854,Pan-Dimensional Vending,10,3,5,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-261
SCP-285,Euclid,+90,A Hack Job,28,15,3,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-285
SCP-287,Safe,+131,Clark's Third Favorite Sword,2,3,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-287
SCP-294,Euclid,+1772,The Coffee Machine,2,6,9,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-294
SCP-319,Keter,+413,A Curious Device,0,5,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-319
SCP-332,Euclid,+374,The 1976 Kirk Lonwood High School Marching Band,1,5,3,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-332
SCP-336,Euclid,+223,"""Lilith""",0,3,5,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-336
SCP-343,Safe,+961,"""God""",0,18,27,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-343
SCP-354,Keter,+1275,The Red Pool,1,6,7,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-354
SCP-402,Euclid,+95,Obsidian Absorber,3,3,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-402
SCP-407,Neutralized,+483,The Song of Genesis,2,4,2,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-407
SCP-409,Keter,+352,Contagious Crystal,1,3,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-409
SCP-411,Safe,+398,Ancient Precog,0,3,2,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-411
SCP-417,Euclid,+165,The Plague Tree,0,3,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-417
SCP-423,Safe,+723,Self-Inserting Character,10,10,13,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-423
SCP-426,Euclid,+2196,I am a Toaster,0,6,12,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-426
SCP-427,Safe,+535,Lovecraftian Locket,2,10,4,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-427
SCP-447,Safe,+721,Ball of Green Slime,8,12,24,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-447
SCP-455,Euclid,+586,Cargo Ship,1,3,4,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-455
SCP-458,Safe,+505,The Never-Ending Pizza Box,15,3,4,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-458
SCP-475,Safe,+222,Soap of a Pope,15,5,1,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-475
SCP-484,Safe,+229,Memory Stealing Drug,0,3,0,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-484
SCP-500,Safe,+940,Panacea,10,24,10,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-500
SCP-504,Safe,+1065,Critical Tomatoes,1,4,7,https://iwasaki501.github.io/ternbusty/scp_by_series/series1.html#scp-504
