Source,Target
SCP-008,SCP-500
SCP-028,SCP-2669
SCP-035,SCP-148
SCP-035,SCP-101
SCP-035,SCP-682
SCP-038,SCP-173
SCP-038,SCP-500
SCP-039,SCP-1513
SCP-050,SCP-447
SCP-050,SCP-173
SCP-050,SCP-231
SCP-050,SCP-529
SCP-050,SCP-732
SCP-073,SCP-076
SCP-073,SCP-2711
SCP-073,SCP-2481
SCP-073,SCP-1427
SCP-075,SCP-294
SCP-076,SCP-682
SCP-076,SCP-105
SCP-076,SCP-073
SCP-079,SCP-682
SCP-085,SCP-914
SCP-105,SCP-076
SCP-122,SCP-3060
SCP-128,SCP-2289
SCP-128,SCP-3966
SCP-128,SCP-2460
SCP-131,SCP-173
SCP-131,SCP-689
SCP-143,SCP-890
SCP-143,SCP-1048
SCP-143,SCP-2467
SCP-143,SCP-1006
SCP-143,SCP-2849
SCP-158,SCP-217
SCP-158,SCP-1875
SCP-158,SCP-168
SCP-181,SCP-075
SCP-181,SCP-082
SCP-182,SCP-076
SCP-182,SCP-682
SCP-187,SCP-343
SCP-187,SCP-173
SCP-187,SCP-162
SCP-187,SCP-882
SCP-187,SCP-106
SCP-187,SCP-646
SCP-187,SCP-529
SCP-187,SCP-455
SCP-187,SCP-003
SCP-212,SCP-217
SCP-217,SCP-882
SCP-231,SCP-500
SCP-231,SCP-682
SCP-239,SCP-148
SCP-239,SCP-953
SCP-261,SCP-085
SCP-261,SCP-2337
SCP-261,SCP-417
SCP-261,SCP-106
SCP-261,SCP-4677
SCP-261,SCP-2206
SCP-261,SCP-914
SCP-285,SCP-2586
SCP-285,SCP-3697
SCP-285,SCP-3015
SCP-285,SCP-4239
SCP-285,SCP-4669
SCP-285,SCP-2562
SCP-285,SCP-2476
SCP-285,SCP-2839
SCP-285,SCP-2293
SCP-285,SCP-2842
SCP-285,SCP-3012
SCP-285,SCP-3090
SCP-285,SCP-3024
SCP-285,SCP-3036
SCP-287,SCP-148
SCP-294,SCP-075
SCP-294,SCP-085
SCP-332,SCP-1833
SCP-354,SCP-076
SCP-402,SCP-148
SCP-407,SCP-507
SCP-409,SCP-500
